Eileen Heckart	Butterflies Are Free
El Brendel	Wings
Elaine Williams	Subject Was Roses, The
Elarica Gallacher	Harry Potter and the Half-Blood Prince
Eleanor Bron	Women in Love
Eleanor Parker	Sound of Music, The
Eleonora Brown	Ciociara, La
Eli Roth	Inglourious Basterds
Elias Koteas	Teenage Mutant Ninja Turtles
Elie Chaib	Mighty Aphrodite
Elijah Wood	Deep Impact
Elijah Wood	Lord of the Rings: The Two Towers, The
Elisabeth Moss	Girl, Interrupted
Elisabeth Shue	Leaving Las Vegas
Elissa Knight	WALL-E
Elizabeth Berridge	Amadeus
Elizabeth Cheshire	Melvin and Howard
Elizabeth Hartman	Patch of Blue, A
Elizabeth Mitchell	Santa Clause 2, The
Elizabeth Perkins	Flintstones, The
Elizabeth Taylor	National Velvet
Elizabeth Taylor	Place in the Sun, A
Elizabeth Taylor	V.I.P.s, The
Elizabeth Taylor	Giant
Elizabeth Taylor	Whos Afraid of Virginia Woolf?
Elizabeth Taylor	BUtterfield 8
Ellen Barkin	Tender Mercies
Ellen Burstyn	Exorcist, The
Ellen Burstyn	Alice Doesnt Live Here Anymore
Ellen DeGeneres	Finding Nemo
Ellen Hamilton Latzen	Fatal Attraction
Ellen Page	Inception
Ellen Page	Juno
Ellie Kemper	Bridesmaids
Elsa Martinelli	V.I.P.s, The
Emil Jannings	Last Command, The
Emile Hirsch	Milk
Emilia Fox	Pianist, The
Emily Mortimer	Cars 2
Emma Stone	The Amazing Spider-Man
Emma Stone	The Help
Emma Thompson	Men in Black 3
Emma Thompson	Howards End
Emma Thompson	Brave
Emma Watson	Harry Potter and the Goblet of Fire
Emma Watson	Harry Potter and the Deathly Hallows: Part 2
Emma Watson	Harry Potter and the Half-Blood Prince
Emma Watson	Harry Potter and the Chamber of Secrets
Emma Watson	Harry Potter and the Deathly Hallows: Part 1
Emma Watson	Harry Potter and the Order of the Phoenix
Emmanuelle Beart	Mission: Impossible
Emmanuelle Seigner	Mome, La
Emmy Rossum	The Day After Tomorrow
Eric Bana	Star Trek
Eric Bana	Hulk
Eric Lloyd	Santa Clause 2, The
Eric Lloyd	Santa Clause, The
Eric Sykes	Harry Potter and the Goblet of Fire
Ernest Borgnine	Marty
Ernest Cossart	Kitty Foyle: The Natural History of a Woman
Esmond Knight	Hamlet
Estelle Parsons	Bonnie and Clyde
Estelle Taylor	Cimarron
Esther Minciotti	Marty
